cohort,period,n_users,n_active_users,revenue,retention,cohort_age,age
2020-01-01,2020-01-01,17,17,90.94414981341326,1.0,0,1065
2020-01-01,2020-02-01,17,7,42.588112635415,0.4117647058823529,1,1065
2020-01-01,2020-03-01,17,2,14.033848044802765,0.11764705882352941,2,1065
2020-01-01,2020-04-01,17,1,1.1309864378622327,0.058823529411764705,3,1065
2020-01-01,2020-05-01,17,4,21.512280480871098,0.23529411764705882,4,1065
2020-01-01,2020-06-01,17,0,0.0,0.0,5,1065
2020-01-01,2020-07-01,17,1,1.9259384652875988,0.058823529411764705,6,1065
2020-01-01,2020-08-01,17,3,13.59861197981928,0.17647058823529413,7,1065
2020-01-01,2020-09-01,17,7,17.557271876554456,0.4117647058823529,8,1065
2020-01-01,2020-10-01,17,5,29.260523515752865,0.29411764705882354,9,1065
2020-01-01,2020-11-01,17,4,8.03240113652489,0.23529411764705882,10,1065
2020-01-01,2020-12-01,17,6,41.997814076603966,0.35294117647058826,11,1065
2020-01-01,2021-01-01,17,7,33.44900641018635,0.4117647058823529,12,1065
2020-01-01,2021-02-01,17,6,17.511425301648075,0.35294117647058826,13,1065
2020-01-01,2021-03-01,17,3,6.266040910498547,0.17647058823529413,14,1065
2020-01-01,2021-04-01,17,1,3.225188248895892,0.058823529411764705,15,1065
2020-01-01,2021-05-01,17,3,10.590764653219985,0.17647058823529413,16,1065
2020-01-01,2021-06-01,17,0,0.0,0.0,17,1065
2020-01-01,2021-07-01,17,1,1.1620453447987413,0.058823529411764705,18,1065
2020-01-01,2021-08-01,17,6,16.704351694462815,0.35294117647058826,19,1065
2020-01-01,2021-09-01,17,6,39.83331828032563,0.35294117647058826,20,1065
2020-01-01,2021-10-01,17,6,19.794068160077845,0.35294117647058826,21,1065
2020-01-01,2021-11-01,17,5,17.321463193071367,0.29411764705882354,22,1065
2020-01-01,2021-12-01,17,8,43.00644707368529,0.47058823529411764,23,1065
2020-01-01,2022-01-01,17,7,43.33587331517517,0.4117647058823529,24,1065
2020-01-01,2022-02-01,17,5,35.44614840448242,0.29411764705882354,25,1065
2020-01-01,2022-03-01,17,2,3.291231202031301,0.11764705882352941,26,1065
2020-01-01,2022-04-01,17,0,0.0,0.0,27,1065
2020-01-01,2022-05-01,17,4,7.591545327590203,0.23529411764705882,28,1065
2020-01-01,2022-06-01,17,1,2.100644735268521,0.058823529411764705,29,1065
2020-01-01,2022-07-01,17,2,10.13774239200713,0.11764705882352941,30,1065
2020-01-01,2022-08-01,17,3,7.03395274171552,0.17647058823529413,31,1065
2020-01-01,2022-09-01,17,4,14.30924558797445,0.23529411764705882,32,1065
2020-01-01,2022-10-01,17,6,32.77298399453278,0.35294117647058826,33,1065
2020-01-01,2022-11-01,17,4,18.102430926758537,0.23529411764705882,34,1065
2020-01-01,2022-12-01,17,5,14.335750176895832,0.29411764705882354,35,1065
2020-02-01,2020-02-01,54,54,88.77290692984843,1.0,0,1034
2020-02-01,2020-03-01,54,3,7.56542977344908,0.05555555555555555,1,1034
2020-02-01,2020-04-01,54,10,26.822612667495505,0.18518518518518517,2,1034
2020-02-01,2020-05-01,54,15,45.55610155424833,0.2777777777777778,3,1034
2020-02-01,2020-06-01,54,4,12.677806788678462,0.07407407407407407,4,1034
2020-02-01,2020-07-01,54,2,1.6729692792391253,0.037037037037037035,5,1034
2020-02-01,2020-08-01,54,8,21.172945110135963,0.14814814814814814,6,1034
2020-02-01,2020-09-01,54,22,130.36138006597895,0.4074074074074074,7,1034
2020-02-01,2020-10-01,54,16,88.75794289129516,0.2962962962962963,8,1034
2020-02-01,2020-11-01,54,16,58.5684319728647,0.2962962962962963,9,1034
2020-02-01,2020-12-01,54,19,82.78456065717914,0.35185185185185186,10,1034
2020-02-01,2021-01-01,54,23,94.26792011815175,0.42592592592592593,11,1034
2020-02-01,2021-02-01,54,20,64.83475475941032,0.37037037037037035,12,1034
2020-02-01,2021-03-01,54,3,4.646096795035,0.05555555555555555,13,1034
2020-02-01,2021-04-01,54,5,8.27804544480844,0.09259259259259259,14,1034
2020-02-01,2021-05-01,54,8,27.706396407065313,0.14814814814814814,15,1034
2020-02-01,2021-06-01,54,2,6.6010696098774675,0.037037037037037035,16,1034
2020-02-01,2021-07-01,54,1,1.4023561481262752,0.018518518518518517,17,1034
2020-02-01,2021-08-01,54,5,10.383242324818061,0.09259259259259259,18,1034
2020-02-01,2021-09-01,54,15,66.20351126078603,0.2777777777777778,19,1034
2020-02-01,2021-10-01,54,13,48.391019591136825,0.24074074074074073,20,1034
2020-02-01,2021-11-01,54,11,62.590703503044274,0.2037037037037037,21,1034
2020-02-01,2021-12-01,54,15,74.77317884999127,0.2777777777777778,22,1034
2020-02-01,2022-01-01,54,22,138.25801407774222,0.4074074074074074,23,1034
2020-02-01,2022-02-01,54,14,53.775150975464804,0.25925925925925924,24,1034
2020-02-01,2022-03-01,54,4,8.021810419631661,0.07407407407407407,25,1034
2020-02-01,2022-04-01,54,9,30.473719108887334,0.16666666666666666,26,1034
2020-02-01,2022-05-01,54,4,14.054284747847404,0.07407407407407407,27,1034
2020-02-01,2022-06-01,54,2,11.678966118308052,0.037037037037037035,28,1034
2020-02-01,2022-07-01,54,2,3.2212897270894674,0.037037037037037035,29,1034
2020-02-01,2022-08-01,54,7,23.12599061112437,0.12962962962962962,30,1034
2020-02-01,2022-09-01,54,14,51.37842539740115,0.25925925925925924,31,1034
2020-02-01,2022-10-01,54,13,75.19871799869969,0.24074074074074073,32,1034
2020-02-01,2022-11-01,54,12,32.64178973949915,0.2222222222222222,33,1034
2020-02-01,2022-12-01,54,14,73.24065127828277,0.25925925925925924,34,1034
2020-03-01,2020-03-01,19,19,5.41954395553222,1.0,0,1005
2020-03-01,2020-04-01,19,3,7.72592861581914,0.15789473684210525,1,1005
2020-03-01,2020-05-01,19,4,18.972889713625833,0.21052631578947367,2,1005
2020-03-01,2020-06-01,19,1,2.1517350068747545,0.05263157894736842,3,1005
2020-03-01,2020-07-01,19,1,0.7646283761932617,0.05263157894736842,4,1005
2020-03-01,2020-08-01,19,4,9.471868851307208,0.21052631578947367,5,1005
2020-03-01,2020-09-01,19,5,32.31966114209055,0.2631578947368421,6,1005
2020-03-01,2020-10-01,19,7,46.9425913179102,0.3684210526315789,7,1005
2020-03-01,2020-11-01,19,6,28.514770001473334,0.3157894736842105,8,1005
2020-03-01,2020-12-01,19,8,47.40060280841854,0.42105263157894735,9,1005
