cohort,n_users,period,age,cohort_age,retention_true_mu,retention_true,n_active_users,revenue,retention
2020-01-01,150,2020-01-01,1430,0,-1.8073730847993055,0.14095591200386243,150,140.19256905522883,1.0
2020-01-01,150,2020-02-01,1430,31,-1.4747360946266617,0.1862238179996656,25,17.63425464582627,0.16666666666666666
2020-01-01,150,2020-03-01,1430,60,-2.281285978270829,0.09268475302791174,13,9.63710525471331,0.08666666666666667
2020-01-01,150,2020-04-01,1430,91,-3.2066095260386476,0.03891775083954754,6,3.919983034698409,0.04
2020-01-01,150,2020-05-01,1430,121,-3.1129828098451,0.042574892086296695,2,1.6496914380626577,0.013333333333333334
2020-01-01,150,2020-06-01,1430,152,-2.9388896418487174,0.05026425273685871,10,7.235576193573378,0.06666666666666667
2020-01-01,150,2020-07-01,1430,182,-3.5731277647459496,0.027301626335553393,7,3.5165180785085552,0.04666666666666667
2020-01-01,150,2020-08-01,1430,213,-3.9663698572445254,0.0185899389570543,2,1.7123293755267779,0.013333333333333334
2020-01-01,150,2020-09-01,1430,244,-3.140552980837426,0.04146513507450577,7,2.3997389847728208,0.04666666666666667
2020-01-01,150,2020-10-01,1430,274,-2.3083674247578374,0.09043234133010639,12,2.531239876491564,0.08
2020-01-01,150,2020-11-01,1430,305,-2.471808263740782,0.07785830917269547,11,5.320295933396852,0.07333333333333333
2020-01-01,150,2020-12-01,1430,335,-2.663460835126449,0.06516418936303829,15,2.6788741696911007,0.1
2020-01-01,150,2021-01-01,1430,366,-2.063138283960731,0.11273154733042573,17,4.391624381554371,0.11333333333333333
2020-01-01,150,2021-02-01,1430,397,-1.7305012937880875,0.15052347000657476,30,7.153222511828731,0.2
2020-01-01,150,2021-03-01,1430,425,-2.498651251889084,0.07595278638272067,11,1.99709905953243,0.07333333333333333
2020-01-01,150,2021-04-01,1430,456,-3.448238169391031,0.030821444369056036,6,1.053584245797195,0.04
2020-01-01,150,2021-05-01,1430,486,-3.3819207702422798,0.03286528799723805,6,0.4974153243508988,0.04
2020-01-01,150,2021-06-01,1430,517,-3.1866006375166975,0.03967308985220374,6,1.5583100406207713,0.04
2020-01-01,150,2021-07-01,1430,547,-3.8023757116606767,0.02183048252567838,1,0.014367143880382934,0.006666666666666667
2020-01-01,150,2021-08-01,1430,578,-4.229218910446459,0.014354703231750851,1,0.08954560454202218,0.006666666666666667
2020-01-01,150,2021-09-01,1430,609,-3.4334530370262435,0.031266175134905164,10,1.7087919881339664,0.06666666666666667
2020-01-01,150,2021-10-01,1430,639,-2.576204110317006,0.07068567390122277,13,1.8318453590140646,0.08666666666666667
2020-01-01,150,2021-11-01,1430,670,-2.7128824296874643,0.062217459475045034,11,0.6578738881710471,0.07333333333333333
2020-01-01,150,2021-12-01,1430,700,-2.9264455429875973,0.05086164172417568,6,0.23818301426303495,0.04
2020-01-01,150,2022-01-01,1430,731,-2.3182046711025897,0.08962643868896833,15,0.9059592569531956,0.1
2020-01-01,150,2022-02-01,1430,762,-1.9855676809299458,0.12072657014248571,17,1.040183504873512,0.11333333333333333
2020-01-01,150,2022-03-01,1430,790,-2.753717639030943,0.059877034936958215,4,0.13377726204155324,0.02666666666666667
2020-01-01,150,2022-04-01,1430,821,-3.7033045565328893,0.024049338168698548,2,0.08313560066366427,0.013333333333333334
2020-01-01,150,2022-05-01,1430,851,-3.636987157384138,0.02565599510705542,5,0.19141860970426317,0.03333333333333333
2020-01-01,150,2022-06-01,1430,882,-3.441667024658557,0.03101834053710615,8,0.2472761204671219,0.05333333333333334
2020-01-01,150,2022-07-01,1430,912,-4.057442098802535,0.016999225918486047,2,0.1555837636853762,0.013333333333333334
2020-01-01,150,2022-08-01,1430,943,-4.484285297588318,0.01115902102569871,2,0.07210092019752484,0.013333333333333334
2020-01-01,150,2022-09-01,1430,974,-3.6885194241681027,0.024398812411702105,3,0.017721857431402,0.02
2020-01-01,150,2022-10-01,1430,1004,-2.8312704974588647,0.05565758310492308,5,0.11743619418598976,0.03333333333333333
2020-01-01,150,2022-11-01,1430,1035,-2.967948816829323,0.04889502362193391,5,0.22649891302402267,0.03333333333333333
2020-01-01,150,2022-12-01,1430,1065,-3.1815119301294565,0.039867419998952366,3,0.08815309146513269,0.02
2020-01-01,150,2023-01-01,1430,1096,-2.5732710582444485,0.07087858655057158,9,0.1344533578438623,0.06
2020-01-01,150,2023-02-01,1430,1127,-2.240634068071805,0.09616041846364573,11,0.15494531173948833,0.07333333333333333
2020-01-01,150,2023-03-01,1430,1155,-3.008784026172802,0.04703061407967319,6,0.1073151456025213,0.04
2020-01-01,150,2023-04-01,1430,1186,-3.9583709436747485,0.01873643730936365,4,0.032764753029695684,0.02666666666666667
2020-01-01,150,2023-05-01,1430,1216,-3.8920535445259974,0.019995428882053957,2,0.03101735811075791,0.013333333333333334
2020-01-01,150,2023-06-01,1430,1247,-3.696733411800416,0.02420405261217106,5,0.021082373238641785,0.03333333333333333
2020-01-01,150,2023-07-01,1430,1277,-4.312508485944394,0.013222711028340502,2,0.030608179037574054,0.013333333333333334
2020-01-01,150,2023-08-01,1430,1308,-4.739351684730177,0.008668513223598268,1,0.004221178820370853,0.006666666666666667
2020-01-01,150,2023-09-01,1430,1339,-3.943585811309961,0.019010210693685047,3,0.03427388796359754,0.02
2020-01-01,150,2023-10-01,1430,1369,-3.0863368846007235,0.0436743765332095,9,0.07821730846796071,0.06
2020-01-01,150,2023-11-01,1430,1400,-3.2230152039711815,0.03830874703836209,8,0.07797255298699018,0.05333333333333334
2020-01-01,150,2023-12-01,1430,1430,-3.436578317271315,0.031171653311490164,6,0.032090843341675036,0.04
